date,open,close,high,low,volume,amount
20150213 09:32:00,13.94,13.94,13.95,13.93,444500,6195036
20150213 09:33:00,13.94,13.94,13.95,13.93,695500,9697841
20150213 09:34:00,13.95,13.95,13.96,13.94,480200,6697944
20150213 09:35:00,13.95,13.94,13.96,13.94,332000,4631274
20150213 09:36:00,13.95,13.96,13.96,13.95,202700,2829141
20150213 09:37:00,13.95,13.96,13.96,13.95,404600,5644638
20150213 09:38:00,13.96,13.97,13.97,13.95,414600,5786272
20150213 09:39:00,13.96,13.97,13.97,13.96,224800,3139052
20150213 09:40:00,13.96,13.96,13.97,13.95,261100,3644368
20150213 09:41:00,13.96,13.94,13.96,13.94,663700,9257919
20150213 09:42:00,13.94,13.93,13.95,13.93,412400,5749810
20150213 09:43:00,13.93,13.94,13.94,13.93,329600,4592147
20150213 09:44:00,13.93,13.91,13.93,13.91,534800,7445984
20150213 09:45:00,13.89,13.87,13.9,13.87,662100,9193854
20150213 09:46:00,13.89,13.88,13.89,13.87,194100,2694027
20150213 09:47:00,13.89,13.87,13.89,13.86,616000,8545316
20150213 09:48:00,13.87,13.88,13.88,13.86,280200,3887181
20150213 09:49:00,13.89,13.89,13.9,13.88,469100,6518186
20150213 09:50:00,13.88,13.87,13.89,13.87,473700,6575453
20150213 09:51:00,13.87,13.88,13.88,13.86,420000,5823867
20150213 09:52:00,13.87,13.86,13.88,13.86,351300,4870144
20150213 09:53:00,13.86,13.84,13.86,13.84,324000,4487573
20150213 09:54:00,13.85,13.86,13.86,13.84,347800,4817436
20150213 09:55:00,13.85,13.88,13.89,13.85,301600,4178059
20150213 09:56:00,13.88,13.87,13.89,13.85,199300,2762596
20150213 09:57:00,13.87,13.86,13.88,13.86,85600,1187246
20150213 09:58:00,13.87,13.86,13.87,13.86,270800,3754851
20150213 09:59:00,13.87,13.88,13.89,13.87,176000,2442791
20150213 10:00:00,13.88,13.87,13.89,13.87,164500,2284499
20150213 10:01:00,13.87,13.88,13.89,13.87,75200,1043725
20150213 10:02:00,13.88,13.87,13.88,13.87,237300,3293047
20150213 10:03:00,13.88,13.88,13.89,13.87,157100,2180669
20150213 10:04:00,13.89,13.88,13.89,13.87,337100,4679063
20150213 10:05:00,13.88,13.89,13.89,13.88,253100,3513820
20150213 10:06:00,13.88,13.9,13.9,13.88,635700,8825936
20150213 10:07:00,13.9,13.92,13.93,13.9,152600,2123903
